SKU,Price API,Price Shopify,Quantity
P27365,11.0,15.38,0
P27366,13.77,19.20,50
P27367,18.37,25.55,0
P27368,22.51,31.26,10
P27369,20.3,28.21,10
P27370,14.1,19.66,0
P27374,15.22,21.20,0
P27380,8.91,12.50,3
P27384,16.95,23.59,10
P27393,27.32,37.90,0
P27396,7.4,10.41,10
P27397,6.8,9.58,100
P27398,6.33,8.94,10
P27400,13.03,18.18,10
P27402,15.94,22.20,10
P27405,13.44,18.75,10
P27406,8.0,11.24,5
P27407,18.44,25.65,10
P27408,5.74,8.12,10
P27410,19.49,27.10,10
P27411,17.98,25.01,0
P27413,11.7,16.35,10
P27414,10.12,14.17,10
P27474,5.81,8.22,10
P27476,14.8,20.62,3
P27477,14.8,20.62,10
P27485,11.29,15.78,10
P27486,5.97,8.44,2
P27489,10.66,14.91,10
P27491,8.35,11.72,2
P27492,11.95,16.69,10
P27493,14.0,19.52,10
P27496,6.07,8.58,100
P27498,17.77,24.72,50
P27505,10.67,14.92,10
P27506,10.71,14.98,0
P27507,8.69,12.19,50
P27508,17.67,24.58,100
P27509,6.97,9.82,10
P27510,7.61,10.70,10
P27511,6.53,9.21,100
P27514,14.05,19.59,0
P27518,5.83,8.25,6
P27520,17.96,24.98,7
P27524,9.3,13.03,0
P27525,22.09,30.68,10
P27526,4.02,5.75,10
P27527,17.41,24.23,2
P27542,5.65,8.00,4
P27543,9.92,13.89,100
P27544,5.28,7.49,2
P27547,23.71,32.92,10
P27548,7.37,10.37,10
P27550,9.3,13.03,100
P27551,9.27,12.99,10
P27554,8.52,11.96,0
P27563,29.57,41.01,0
P27589,7.89,11.09,0
P27590,16.53,23.01,10
P27595,11.12,15.55,10
P27599,8.39,11.78,0
P27601,7.02,9.89,10
P27606,6.34,8.95,10
P27607,14.64,20.40,0
P27612,10.31,14.43,10
P27613,15.56,21.67,8
P27619,5.12,7.27,100
P27622,4.2,6.00,10
P27629,12.27,17.13,50
P27630,21.79,30.27,10
P27631,19.53,27.15,0
P27632,12.9,18.00,10
P27636,14.59,20.33,10
P27641,33.72,46.73,10
P27650,4.02,5.75,10
P27651,14.19,19.78,10
P27652,16.23,22.60,4
P27657,10.74,15.02,10
P27660,13.95,19.45,10
P27664,35.43,49.09,100
P27665,11.51,16.08,10
P27666,8.0,11.24,9
P27667,4.5,6.41,100
P27668,22.85,31.73,0
P27669,4.47,6.37,0
P27672,13.85,19.31,10
P27674,8.12,11.41,10
P27675,4.79,6.81,10
P27676,5.75,8.14,100
P27677,8.97,12.58,100
P27678,7.25,10.20,1
P27681,12.89,17.99,0
P27682,22.5,31.25,0
P27683,8.45,11.86,10
P27694,7.03,9.90,100
P27696,13.74,19.16,10
P27698,15.58,21.70,50
P27699,9.85,13.79,8
P27700,20.51,28.50,0
P27701,11.42,15.96,0
P27703,13.81,19.26,50
P27704,11.75,16.41,100
P27710,10.87,15.20,10
P27711,25.23,35.02,10
P27713,8.0,11.24,0
P27714,2.54,3.71,10
P27715,6.8,9.58,100
P27716,13.12,18.31,50
P27720,10.35,14.48,50
P27721,8.61,12.08,3
P27723,11.04,15.44,6
P27724,10.26,14.36,6
P27725,5.45,7.72,10
P27726,7.56,10.63,6
P27729,9.01,12.63,0
P27731,28.88,40.05,100
P27734,26.54,36.83,10
P27735,14.8,20.62,9
P27741,7.95,11.17,10
P27742,11.5,16.07,10
P27743,20.73,28.81,1
P27745,4.79,6.81,10
P27746,6.82,9.61,10
P27747,5.21,7.39,10
P27748,6.03,8.52,0
P27749,10.16,14.22,1
P27750,8.12,11.41,10
P27751,8.05,11.31,100
P27752,9.57,13.41,10
P27753,9.69,13.57,50
P27772,7.31,10.29,10
P27774,21.11,29.33,10
